koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
19.89913995,1.7822,10829.0,76.3,14.6,5853.0,0.868,CANDIDATE
40.4195037,3.362,6256.0,36.9,7.51,5446.0,0.781,CANDIDATE
7.2406612,0.558,556.4,13.7,19.45,5005.0,0.765,CANDIDATE
3.43591631,3.133,23.2,8.7,0.55,5779.0,1.087,CANDIDATE
10.181584004,3.5089,5741.1,183.6,7.73,5988.0,0.836,CANDIDATE
19.620346923,2.0038,21725.0,340.5,13.6,5710.0,0.905,CANDIDATE
34.84398644,2.9315,4523.6,76.8,7.61,5509.0,0.871,CANDIDATE
4.64090031,35.512,2450.6,296.9,30.09,6463.0,0.826,CANDIDATE
1.028436523,1.8606,8098.0,89.6,72.77,6228.0,0.99,CANDIDATE
235.9986399,8.2284,20715.0,271.8,10.59,4245.0,0.657,CANDIDATE
39.74893077,7.3051,15179.0,561.1,14.21,6122.0,0.964,CANDIDATE
13.61014819,2.594,5732.9,184.1,19.02,5697.0,0.903,CANDIDATE
119.0207044,8.1405,7430.5,223.5,8.98,5453.0,1.062,CANDIDATE
12.940668656,2.4845,42450.0,307.5,22.94,5875.0,0.809,CANDIDATE
2.688899233,2.11275,37492.0,1011.6,12.04,4820.0,0.639,CANDIDATE
12.732624065,2.2083,6465.7,210.5,4.87,3950.0,0.541,CANDIDATE
83.92494032,6.7904,7958.7,182.1,4.78,3960.0,0.509,CANDIDATE
3.886655224,3.1646,581.6,48.1,1.87,5662.0,0.738,CANDIDATE
2.494170338,1.1221,863.7,69.2,2.42,5569.0,0.829,CANDIDATE
39.4759093,2.968,1012.6,26.6,4.06,6225.0,1.031,CANDIDATE
9.61731426,3.8692,234.0,18.2,1.94,6035.0,1.257,CANDIDATE
90.1240507,11.649,3020.3,57.9,7.12,6520.0,1.215,CANDIDATE
856.672115,23.144,858.1,39.2,3.87,6449.0,1.309,CANDIDATE
0.689210173,1.6169,195.0,93.4,1.32,5630.0,0.954,CANDIDATE
3.9886021,1.7376,673.5,37.1,34.39,4813.0,13.652,CANDIDATE
0.533059312,1.8621,1495.8,179.6,133.56,8523.0,4.051,CANDIDATE
129995.7784,9.408,1474.9,35.7,2.99,4500.0,0.726,CANDIDATE
13.118962443,4.3045,372.2,267.4,8.25,7221.0,4.24,CANDIDATE
7.82187328,3.8417,42.2,37.2,2.78,7221.0,4.24,CANDIDATE
53.5057611,10.5616,195.6,71.2,2.52,6247.0,1.762,CANDIDATE
13.4471791,3.0454,1428.2,105.3,5.24,6276.0,1.041,CANDIDATE
7.37290344,2.172,205.2,19.1,2.67,5973.0,1.07,CANDIDATE
119.0624882,3.1188,5372.3,71.6,10.4,5697.0,0.92,CANDIDATE
14.8623076,3.161,840.0,14.4,1.57,4362.0,0.554,CANDIDATE
16.15811112,6.049,2319.8,52.8,86.13,5619.0,0.874,CANDIDATE
1295.362215,28.297,8708.0,164.0,57.82,5609.0,1.048,CANDIDATE
4.2989201,2.747,237.6,20.0,2.12,5300.0,0.986,CANDIDATE
5.714817603,3.14126,12295.0,537.7,9.29,5695.0,0.842,CANDIDATE
2.83668931,3.031,166.1,12.1,1.19,5831.0,0.921,CANDIDATE
1.00861677,0.91,,,,,,CANDIDATE
2.624234833,1.3874,2607.0,361.1,5.11,5340.0,0.899,CANDIDATE
92.77779,6.64,359.0,5.2,1.92,5888.0,1.019,CANDIDATE
422.917678,31.274,1367.7,61.7,5.89,5796.0,1.444,CANDIDATE
30.5872153,5.3698,464.8,33.1,2.32,5944.0,1.082,CANDIDATE
9.95639775,5.615,510.5,32.9,28.15,6161.0,1.053,CANDIDATE
31.201692472,2.15663,34514.0,607.4,8.31,3748.0,0.449,CANDIDATE
6.810823723,7.98574,14447.0,1441.9,26.06,7226.0,2.079,CANDIDATE
51.59809554,2.0153,5869.2,79.7,6.57,5681.0,0.859,CANDIDATE
1500.0,7.109,9592.0,62.5,9.8,5606.0,0.76,CANDIDATE
1500.1406772,25.727,4129.9,83.3,18.35,5009.0,2.283,CANDIDATE
20.51360192,3.4769,1174.1,32.3,2.58,5310.0,0.704,CANDIDATE
0.783276173,1.6735,264.7,46.9,1.98,5640.0,1.233,CANDIDATE
3.17405898,2.3156,282.2,29.2,2.09,5640.0,1.233,CANDIDATE
345.1589354,7.5646,5087.9,197.9,7.79,5597.0,0.931,CANDIDATE
99.6442783,5.1772,3215.6,163.2,8.48,6102.0,1.016,CANDIDATE
19.03723442,3.3882,401.3,25.3,5.74,5248.0,2.892,CANDIDATE
0.576078683,1.63253,10085.0,426.0,23.23,5693.0,0.816,CANDIDATE
78.9257421,7.5193,17972.0,85.2,11.9,5750.0,0.882,CANDIDATE
6.84639884,3.4919,149.7,36.3,1.9,6065.0,1.31,CANDIDATE
12.37679312,3.85,,,,,,CANDIDATE
