period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label
9.48803557,2.9575,615.8,2.26,93.59,793.0,5455.0,0.927,4.467,15.347,1
54.4183827,4.507,874.8,2.83,9.11,443.0,5455.0,0.927,4.467,15.347,1
1.736952453,2.40641,8079.2,33.46,891.96,1395.0,5805.0,0.791,4.564,15.597,0
2.525591777,1.6545,603.3,2.75,926.16,1406.0,6031.0,1.046,4.438,15.509,1
11.09432054,4.5945,1517.5,3.9,114.81,835.0,6046.0,0.972,4.486,15.714,1
4.13443512,3.1402,686.0,2.77,427.65,1160.0,6046.0,0.972,4.486,15.714,1
2.56658897,2.429,226.5,1.59,807.74,1360.0,6046.0,0.972,4.486,15.714,1
7.36178958,5.022,233.7,39.21,767.22,1342.0,6227.0,1.958,3.986,12.66,0
16.06864674,3.5347,4914.3,5.76,30.75,600.0,5031.0,0.848,4.485,15.841,1
2.470613377,1.74319,14231.0,13.04,761.46,1339.0,5820.0,0.964,4.457,11.338,1
2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,6440.0,1.952,4.019,10.463,1
3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,6225.0,1.451,4.169,13.563,1
3.709214104,2.6302,131.1,1.16,500.46,1206.0,5833.0,1.022,4.407,12.772,1
11.521446064,3.6399,17984.0,150.51,75.88,753.0,5795.0,0.848,4.554,15.472,0
19.40393776,12.2155,8918.7,7.18,17.69,523.0,5043.0,0.68,4.591,15.487,0
19.221388942,4.79843,74284.0,49.29,55.97,698.0,6117.0,0.947,4.496,15.341,0
16.46983774,9.4378,10479.0,7.94,29.61,595.0,5152.0,0.786,4.517,15.788,0
9.27358173,3.2875,1288.3,2.47,41.85,649.0,4856.0,0.696,4.583,15.302,1
6.02930329,1.5821,1912.7,2.85,50.04,678.0,4537.0,0.672,4.648,15.784,1
2.696370652,3.6129,397.9,1.58,305.34,1066.0,4989.0,0.819,4.504,15.269,0
5.349553819,3.0278,831.0,2.55,168.99,919.0,5185.0,0.91,4.44,15.416,1
3.94105221,2.5984,363.3,1.7,253.15,1018.0,5185.0,0.91,4.44,15.416,1
8.10904807,3.596,217.4,1.3,97.03,800.0,5185.0,0.91,4.44,15.416,1
386.6030528,6.8057,24927.0,41.5,1.84,297.0,5543.0,1.58,4.081,12.394,0
21.67699193,3.4555,857.2,2.95,18.64,530.0,4954.0,0.828,4.5,15.377,1
4.99677968,2.1717,934.7,2.78,166.95,917.0,5339.0,0.847,4.552,15.861,1
4.280963604,2.875,750.8,2.3,247.87,1012.0,5644.0,0.831,4.564,15.356,1
1.50635409,1.5155,2211.7,4.53,1054.12,1452.0,5714.0,0.831,4.563,15.525,0
670.645531,53.412,18091.0,14.14,0.35,196.0,5520.0,0.983,4.466,15.207,0
61.2563628,7.633,5123.3,39.87,15.43,505.0,6144.0,1.091,4.402,15.25,0
38.3775486,5.588,724.2,2.82,18.53,529.0,5481.0,1.036,4.369,15.172,1
41.19725502,4.6297,2213.9,3.86,8.76,439.0,5031.0,0.848,4.485,15.841,1
6.252962249,2.5819,1036.9,2.65,108.3,823.0,5031.0,0.848,4.485,15.841,1
16.01308419,3.2554,1121.9,3.1,29.31,593.0,5015.0,0.826,4.499,15.39,1
32.62876672,4.7971,1804.8,3.36,15.55,506.0,5586.0,0.798,4.56,15.082,1
91.7732862,6.473,652.0,2.12,3.92,359.0,5586.0,0.798,4.56,15.082,1
4.959319244,2.22739,9802.0,12.21,349.4,1103.0,5712.0,1.082,4.359,15.263,1
2.701287801,3.3827,860.4,6.54,527.81,1222.0,5550.0,0.91,4.468,15.54,0
4.49876511,3.7362,460.0,2.1,389.62,1133.0,6075.0,0.969,4.486,15.395,1
19.651209505,5.2514,11766.0,12.42,67.03,730.0,6074.0,1.063,4.391,15.536,0
5.412203927,2.9472,601.6,2.94,337.68,1093.0,5779.0,1.087,4.339,12.791,1
41.43958662,10.5989,2793.1,5.5,16.72,516.0,5468.0,1.046,4.367,15.4,1
8.35389523,2.2514,1041.6,2.52,91.9,790.0,5592.0,0.787,4.582,15.317,1
4.125543472,3.1744,1487.3,4.43,565.35,1243.0,6174.0,1.103,4.417,15.506,1
2.816504904,2.50587,16814.0,12.21,521.13,1219.0,5532.0,0.955,4.452,15.052,1
33.93373447,14.561,8503.7,7.34,8.11,430.0,5040.0,0.705,4.628,15.716,0
3.689920099,2.6557,426.7,1.89,408.99,1147.0,5880.0,0.917,4.518,15.242,1
4.431238488,3.15,1010.9,3.25,351.23,1104.0,5714.0,1.015,4.428,15.367,1
11.37936986,2.6255,1023.5,3.95,99.68,806.0,5714.0,1.015,4.428,15.367,1
26.39432897,3.573,1510.9,3.07,13.49,489.0,5129.0,0.763,4.595,15.234,1
13.57078281,3.3539,511.7,2.64,89.61,785.0,5854.0,1.012,4.406,12.882,1
7.12594387,3.0014,192.4,1.79,233.31,997.0,5779.0,1.087,4.339,12.791,1
7.442652004,2.3078,24446.0,15.03,206.78,967.0,6108.0,0.956,4.469,15.27,0
16.38489988,3.0249,1127.1,2.0,8.35,433.0,4126.0,0.615,4.661,15.095,1
7.8774163,2.0805,1306.1,2.16,22.18,553.0,4126.0,0.615,4.661,15.095,1
36.4454001,4.007,1122.3,1.99,2.88,332.0,4126.0,0.615,4.661,15.095,1
3.728732147,2.683,5226.5,6.02,258.34,1023.0,5497.0,0.809,4.577,15.523,1
2.243380573,1.1196,821.7,1.99,107.6,822.0,4149.0,0.564,4.698,15.135,1
10.405998015,6.5036,14489.0,11.23,113.94,833.0,5746.0,0.924,4.393,15.562,0
2.337437946,1.9982,971.2,2.34,311.16,1070.0,5005.0,0.765,4.595,15.334,1
11.59822233,2.5237,2804.5,2.65,5.82,396.0,3688.0,0.473,4.79,15.937,1
6.575315881,4.3084,2793.3,5.31,251.38,1015.0,5992.0,0.989,4.415,15.312,1
7.275040844,7.5377,3001.0,4.86,113.64,833.0,5485.0,0.867,4.556,15.08,1
19.27153892,2.7594,1219.8,1.93,5.66,393.0,4077.0,0.56,4.702,15.385,1
10.06524317,1.369,1053.3,1.91,13.43,488.0,4077.0,0.56,4.702,15.385,1
12.3935651,3.8896,916.6,2.66,49.68,677.0,5557.0,0.75,4.603,15.505,1
43.84439721,6.802,615.2,2.87,18.77,531.0,5854.0,1.012,4.406,12.882,1
3.341913228,3.813,725.3,21.55,268.67,1032.0,5295.0,0.811,4.551,15.629,0
1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,5735.0,0.973,4.41,15.279,0
2.711504086,3.0099,837.5,3.12,960.79,1420.0,6214.0,1.076,4.442,15.541,1
7.21203748,4.0491,950.4,3.32,260.58,1025.0,6214.0,1.076,4.442,15.541,1
14.1798187,2.505,459.9,1.88,60.35,711.0,5799.0,0.878,4.539,15.727,0
8.47237911,2.7245,1123.5,2.59,75.44,751.0,5354.0,0.788,4.587,15.339,1
60.4189369,5.039,931.3,2.36,5.49,390.0,5354.0,0.788,4.587,15.339,1
12.611904345,5.1497,6105.6,7.4,76.15,753.0,5795.0,0.919,4.508,15.14,1
1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,6017.0,1.339,4.22,15.122,0
10.31872301,3.836,871.7,28.59,139.26,876.0,5927.0,1.06,4.409,15.065,0
2.539183147,2.4282,382.1,2.06,743.09,1332.0,5519.0,1.062,4.35,15.026,1
6.770300385,2.0844,1304.0,2.77,102.87,812.0,5653.0,0.679,4.656,15.591,1
0.444291966,2.0792,10967.0,27.51,2706.26,1836.0,5255.0,0.636,4.678,15.748,0
20.06036336,3.3203,1494.7,1.96,4.0,361.0,3950.0,0.493,4.754,15.954,1
46.1842039,4.758,1394.7,1.83,1.32,273.0,3950.0,0.493,4.754,15.954,1
23.9800854,5.351,104.0,1.31,41.94,649.0,5854.0,1.012,4.406,12.882,1
7.82502168,2.186,520.8,1.2,14.05,494.0,3950.0,0.493,4.754,15.954,1
3.895936525,2.3111,8544.8,7.34,241.62,1005.0,5557.0,0.774,4.592,15.725,1
22.36646466,5.228,986.8,2.32,19.45,536.0,5395.0,0.734,4.615,15.583,1
1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,5539.0,1.106,4.322,15.001,1
7.544039,6.222,322.6,17.47,116.46,838.0,5657.0,0.824,4.567,15.559,0
9.02930689,3.1449,1019.8,2.57,77.75,757.0,5349.0,0.82,4.526,15.387,1
10.328035714,7.7915,16918.0,13.28,119.31,843.0,5627.0,1.024,4.359,15.646,0
143.2063047,8.9302,10566.0,8.9,2.14,308.0,5485.0,0.867,4.556,15.403,1
6.164876,3.262,55.8,0.79,256.35,1021.0,5854.0,1.012,4.406,12.882,1
60.32494216,6.6188,20280.0,12.19,6.77,411.0,5485.0,0.867,4.556,15.403,1
29.1598615,4.803,488.0,1.91,17.85,524.0,5485.0,0.867,4.556,15.403,1
1.540397253,2.1541,816.1,25.69,1105.68,1470.0,5663.0,0.915,4.53,15.974,0
2.99025443,5.414,589.2,1.7,168.45,918.0,4667.0,0.731,4.578,15.842,0
1.594745374,1.9604,15044.0,11.3,1329.42,1539.0,5934.0,0.893,4.491,15.53,1
4.783002698,2.335,1008.7,2.5,145.48,886.0,5170.0,0.807,4.574,15.119,1
20.50588921,4.0595,2105.5,3.41,17.06,518.0,4905.0,0.761,4.544,15.398,1
3.340218842,1.9104,1632.6,2.03,43.73,656.0,3950.0,0.493,4.754,15.954,1
2.507089906,2.0067,1339.2,30.26,730.47,1326.0,5926.0,0.939,4.506,15.555,0
18.64932728,4.4056,893.6,3.12,57.13,701.0,5775.0,1.053,4.405,15.386,1
4.90144976,4.1654,140.7,1.7,598.74,1262.0,5847.0,1.402,4.191,12.487,1
9.75192101,4.793,418.0,2.76,135.66,870.0,5775.0,1.053,4.405,15.386,1
38.5576546,5.794,993.0,4.02,21.71,550.0,5775.0,1.053,4.405,15.386,1
3.525632539,2.59959,22335.0,11.58,213.12,975.0,5150.0,0.793,4.572,15.224,1
7.748094239,3.5957,2472.1,5.52,204.39,964.0,5973.0,1.085,4.439,15.67,1
23.96793669,3.827,1182.3,1.8,2.77,329.0,3747.0,0.524,4.728,15.414,1
8.29561738,1.3421,824.3,1.82,11.39,469.0,3747.0,0.524,4.728,15.414,1
8.11437482,2.2736,1558.0,2.1,10.55,460.0,3692.0,0.517,4.753,15.877,1
38.036729482,4.34617,82872.0,27.5,14.81,500.0,5575.0,0.932,4.521,15.472,0
3.747838198,5.0642,616.0,13.65,266.76,1031.0,5514.0,0.826,4.569,13.496,0
14.74914825,6.0995,430.2,2.89,137.91,874.0,5847.0,1.402,4.191,12.487,1
21.81295996,4.3791,1175.4,3.38,39.33,639.0,5601.0,0.999,4.41,15.54,1
7.91936937,3.3148,15148.0,10.34,104.0,814.0,5690.0,0.776,4.588,15.805,0
15.37562369,3.3169,15337.0,11.01,30.54,600.0,4986.0,0.833,4.496,16.422,1
8.10363271,3.161,887.9,2.11,52.82,687.0,4861.0,0.732,4.574,15.289,1
4.71510843,2.506,417.5,1.46,108.84,823.0,4861.0,0.732,4.574,15.289,1
6.365839713,2.9721,780.7,2.44,165.33,914.0,5776.0,0.849,4.554,15.09,1
5.97581754,3.065,962.4,3.86,284.25,1047.0,6108.0,0.997,4.471,15.546,0
2.446737317,4.7211,1177.9,26.25,597.19,1261.0,5764.0,0.863,4.548,15.021,0
3.04033046,1.8411,10859.0,8.99,257.29,1021.0,5035.0,0.791,4.519,15.028,1
15.33528675,3.897,3081.4,5.0,32.67,610.0,5251.0,0.817,4.581,15.855,1
7.95825328,4.377,50.0,1.06,314.15,1074.0,5847.0,1.402,4.191,12.487,1
31.33046135,5.176,5073.8,6.5,12.61,481.0,5251.0,0.817,4.581,15.855,1
3.9043425,3.831,16228.0,12.28,351.05,1104.0,5810.0,0.898,4.526,15.016,0
9.286358079,3.49949,44791.0,17.61,95.03,796.0,5670.0,0.821,4.523,15.365,0
3.951405455,2.1862,2453.9,31.44,388.71,1133.0,6046.0,0.869,4.539,15.446,0
23.65369415,8.2183,3341.8,7.89,67.65,731.0,5739.0,1.384,4.191,15.084,1
13.23352214,6.7372,504.6,3.06,146.67,888.0,5739.0,1.384,4.191,15.084,1
6.15560285,4.9843,285.0,2.32,406.94,1146.0,5739.0,1.384,4.191,15.084,1
2.090811305,3.388,115.9,1.62,1718.04,1642.0,5739.0,1.384,4.191,15.084,1
3.180027898,3.5797,120.3,1.53,1066.86,1458.0,5847.0,1.402,4.191,12.487,1
50.4467417,7.159,370.3,2.67,24.64,568.0,5739.0,1.384,4.191,15.084,1
11.76307164,2.9076,1037.3,2.35,33.99,616.0,4959.0,0.756,4.603,15.208,1
56.2279271,3.57,862.7,2.37,4.22,366.0,4959.0,0.756,4.603,15.208,1
2.384052875,3.0918,1268.1,17.06,244.87,1010.0,4794.0,0.701,4.58,15.836,0
7.953547,2.6312,875.4,2.25,55.37,696.0,4768.0,0.779,4.536,15.66,1
4.14451656,2.3421,391.8,1.48,132.08,864.0,4768.0,0.779,4.536,15.66,1
4.859386384,2.2757,6044.3,38.33,364.23,1114.0,6072.0,0.988,4.47,15.311,0
10.526294577,2.5211,9768.0,8.24,61.16,713.0,5386.0,0.793,4.553,15.305,1
4.583520948,2.7055,3812.1,5.39,274.98,1038.0,5815.0,0.877,4.54,15.287,1
3.76181843,3.5176,510.6,2.66,372.62,1121.0,5653.0,0.949,4.472,15.257,1
8.20396958,2.9667,1024.4,3.01,71.5,742.0,5015.0,0.826,4.499,15.376,1
14.49645186,4.016,647.5,3.01,33.48,613.0,5015.0,0.826,4.499,15.376,1
6.54626149,2.75,655.9,2.19,101.78,810.0,5251.0,0.817,4.581,15.855,1
12.71809866,3.0957,1149.4,2.31,23.6,562.0,4702.0,0.686,4.592,15.389,1
36.06588163,4.3246,1563.8,2.64,5.88,397.0,4702.0,0.686,4.592,15.389,1
4.190425659,2.8589,2877.4,6.21,547.9,1234.0,6073.0,1.135,4.392,15.27,1
3.709870784,3.0694,2020.3,4.35,415.1,1151.0,5727.0,0.978,4.463,15.581,1
16.3297527,6.271,1187.5,3.75,66.08,727.0,5878.0,0.987,4.444,15.447,1
27.807566216,4.21587,25391.0,13.84,22.24,554.0,5862.0,0.785,4.584,15.482,1
80.8723469,11.195,3604.6,7.59,9.88,452.0,5510.0,1.238,4.222,15.201,1
3.166465862,2.9381,4357.2,26.82,196.31,954.0,4968.0,0.704,4.575,15.999,0
24.99324319,5.9409,269.6,2.29,60.88,712.0,5718.0,1.317,4.181,12.377,1
10.35533116,3.1775,750.6,2.47,86.22,777.0,5501.0,0.918,4.462,15.018,1
16.08518937,3.984,1442.4,3.68,33.43,613.0,5239.0,0.826,4.523,15.219,1
7.49018305,2.7297,1123.6,2.56,76.06,753.0,5103.0,0.787,4.562,15.599,1
36.2761238,4.7865,1572.6,3.03,9.29,445.0,5103.0,0.787,4.562,15.599,1
17.46087931,2.2641,812.4,2.32,24.6,568.0,5103.0,0.787,4.562,15.599,1
56.0560754,4.685,1626.0,1.94,0.69,233.0,3593.0,0.491,4.757,15.849,1
41.408316686,5.0264,22839.0,11.38,9.93,453.0,5522.0,0.747,4.586,15.196,1
5.715425977,2.5242,908.1,2.47,123.03,850.0,5237.0,0.826,4.572,15.086,1
49.18394185,11.3364,1646.2,8.2,47.4,669.0,5626.0,2.057,3.907,12.654,1
20.0261412,1.611,421.2,2.28,23.14,559.0,5237.0,0.826,4.572,15.086,1
10.44331991,2.743,1159.8,2.66,46.94,667.0,4947.0,0.802,4.516,15.546,0
2.237489571,1.8119,315.8,1.41,427.17,1160.0,5265.0,0.81,4.58,15.001,1
5.851520671,3.11058,33004.0,14.62,155.89,901.0,5532.0,0.806,4.53,15.33,0
3.167893418,2.1814,781.2,2.62,526.23,1221.0,5895.0,0.94,4.503,15.533,1
4.311780262,2.7251,1154.0,3.11,274.84,1038.0,5527.0,0.927,4.484,15.604,1
20.0504494,4.556,840.9,2.69,35.44,622.0,5527.0,0.927,4.484,15.604,1
9.76734503,1.6585,569.1,2.67,92.46,791.0,5527.0,0.927,4.484,15.604,1
190.3200468,15.284,1141.7,7.78,7.8,426.0,5626.0,2.057,3.907,12.654,1
2.861159894,1.8832,1014.3,4.37,797.1,1355.0,6126.0,1.021,4.458,15.618,0
26.44439337,3.9783,1843.5,3.91,23.54,562.0,5427.0,0.929,4.463,15.158,1
51.53997972,6.3994,3644.3,5.51,9.67,450.0,5427.0,0.929,4.463,15.158,1
5.902245782,2.9003,702.3,2.43,173.74,926.0,5427.0,0.929,4.463,15.158,1
2.382951591,1.8876,391.6,1.86,583.01,1253.0,5427.0,0.929,4.463,15.158,1
21.02250608,4.1072,1772.5,3.07,17.48,521.0,5067.0,0.75,4.585,15.859,1
3.219814777,2.0642,488.2,1.69,234.93,998.0,5103.0,0.787,4.562,15.599,1
5.912273234,2.3254,961.4,1.73,27.72,585.0,4072.0,0.57,4.696,15.036,1
8.98581901,2.8606,881.3,1.65,15.9,509.0,4072.0,0.57,4.696,15.036,1
20.5452375,2.517,218.5,2.41,71.57,742.0,5670.0,1.264,4.206,12.003,0
33.60123371,4.4056,7425.9,8.46,14.22,495.0,5149.0,0.93,4.447,15.262,1
6.76652928,2.9004,450.7,1.97,120.48,845.0,5149.0,0.93,4.447,15.262,1
4.347288783,2.1024,451.6,2.36,449.79,1174.0,5754.0,1.122,4.345,15.024,1
4.601811819,2.2607,755.9,2.35,152.91,896.0,4986.0,0.833,4.496,15.024,1
11.18719905,3.252,353.6,1.55,46.65,667.0,4986.0,0.833,4.496,15.024,1
4.220965778,3.0854,2260.0,2.62,29.68,595.0,3837.0,0.517,4.747,15.692,1
6.998099523,2.0488,20285.0,588.66,125.22,853.0,5612.0,0.829,4.566,15.877,0
5.95489993,2.3892,1410.7,2.33,38.52,635.0,4261.0,0.633,4.641,15.019,1
12.03987488,2.7363,1250.6,2.18,15.06,502.0,4261.0,0.633,4.641,15.019,1
20.83762895,2.3734,439.0,1.42,7.24,418.0,4261.0,0.633,4.641,15.019,1
8.8111022,5.0683,401.1,63.66,904.92,1399.0,6200.0,2.404,3.8,12.759,0
23.58917143,5.073,1200.7,3.16,13.34,487.0,4919.0,0.721,4.566,15.316,1
6.481633073,3.784,298.5,2.54,406.25,1145.0,5945.0,1.302,4.213,12.365,1
10.37168928,3.035,1254.9,3.2,63.68,720.0,5121.0,0.888,4.457,15.193,1
3.96996298,1.1757,299.2,1.78,229.37,992.0,5121.0,0.888,4.457,15.193,1
4.40841331,5.012,549.4,2.66,398.0,1139.0,6007.0,0.961,4.457,15.662,1
7.9426176,6.703,1590.7,4.68,140.57,878.0,5811.0,0.926,4.521,15.26,0
226.8904775,7.558,3136.4,4.53,0.73,236.0,5067.0,0.75,4.585,15.859,1
1.956811408,2.1958,24905.0,21.58,357.16,1109.0,5209.0,0.603,4.657,15.533,0
9.439459486,2.8979,3036.1,4.16,52.32,686.0,5097.0,0.779,4.597,15.067,1
11.523067458,3.8757,507.3,3.13,174.81,927.0,5644.0,1.411,4.162,12.346,1
20.47748843,2.8364,1382.4,2.92,18.65,530.0,5097.0,0.779,4.597,15.067,1
3.336123113,1.9616,516.3,1.74,209.79,970.0,5097.0,0.779,4.597,15.067,1
8.01078456,2.312,1333.6,1.72,9.9,453.0,3713.0,0.47,4.779,15.847,1
12.07134205,4.3224,759.2,1.29,5.74,395.0,3713.0,0.47,4.779,15.847,1
20.99587872,2.6333,767.3,1.3,2.74,328.0,3713.0,0.47,4.779,15.847,1
7.41113177,2.5242,620.5,2.45,158.11,905.0,5849.0,0.919,4.517,15.031,1
1.000747038,0.9967,1823.5,4.14,1635.2,1620.0,5472.0,0.79,4.499,15.419,0
8.884922995,2.07004,16053.0,10.51,83.21,770.0,5332.0,0.843,4.5,15.264,1
8.09888906,4.20241,6911.1,8.95,223.19,986.0,6214.0,1.076,4.442,15.261,1
10.00653012,5.344,936.1,3.52,139.21,876.0,6063.0,1.001,4.47,15.063,1
17.855221681,7.41287,9065.2,13.16,163.04,911.0,6823.0,1.367,4.308,11.353,1
5.007316661,4.2362,6932.3,6.96,234.28,998.0,5865.0,0.827,4.563,15.813,1
2.211116989,1.6485,724.2,1.85,177.19,931.0,4500.0,0.646,4.656,15.791,1
27.9541337,3.95,942.5,1.9,6.04,400.0,4500.0,0.646,4.656,15.791,1
12.69104387,3.7727,252.1,2.57,244.3,1008.0,5869.0,1.626,4.024,12.935,1
4.409409243,3.8636,12861.0,10.95,347.06,1101.0,5600.0,0.975,4.368,15.403,0
16.23947096,4.0374,2590.7,4.14,30.14,598.0,5191.0,0.837,4.564,15.258,1
6.308201629,2.9785,1328.5,2.96,106.44,819.0,5191.0,0.837,4.564,15.258,1
2.052349884,2.0778,14281.0,13.12,1183.18,1497.0,5855.0,1.08,4.393,15.257,1
9.7704486,2.4517,1897.8,2.23,10.59,460.0,3906.0,0.509,4.73,15.777,1
5.169804269,2.153,1037.4,1.66,24.75,569.0,3906.0,0.509,4.73,15.777,1
21.22261195,6.5093,366.0,2.48,83.56,771.0,5945.0,1.302,4.213,12.365,1
20.09017037,4.154,1432.1,2.25,4.05,362.0,3906.0,0.509,4.73,15.777,1
7.11373257,2.1764,807.6,1.16,8.01,429.0,3561.0,0.411,4.855,15.234,1
3.306551643,1.8177,509.2,0.91,22.19,554.0,3561.0,0.411,4.855,15.234,1
15.36845737,2.4714,756.1,1.11,2.86,332.0,3561.0,0.411,4.855,15.234,1
13.81020318,3.048,1309.7,4.56,113.75,833.0,5942.0,1.142,4.327,15.425,1
4.093578461,2.5833,538.6,2.85,461.07,1182.0,6077.0,0.999,4.471,15.399,1
105.145959,8.593,685.4,3.43,6.09,401.0,6077.0,0.999,4.471,15.399,1
10.8484518,2.9993,1675.6,2.34,14.66,499.0,4201.0,0.591,4.682,15.058,1
6.66833241,1.915,362.3,1.18,28.06,587.0,4201.0,0.591,4.682,15.058,1
4.082274889,3.23015,17859.0,10.55,251.48,1016.0,5655.0,0.794,4.581,15.198,1
