period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,Name,StarID
9.48803557,2.9575,615.8,2.26,93.59,793.0,5455.0,0.927,4.467,15.347,1,K00752.01,10797460
54.4183827,4.507,874.8,2.83,9.11,443.0,5455.0,0.927,4.467,15.347,1,K00752.02,10797460
1.736952453,2.40641,8079.2,33.46,891.96,1395.0,5805.0,0.791,4.564,15.597,0,K00754.01,10848459
2.525591777,1.6545,603.3,2.75,926.16,1406.0,6031.0,1.046,4.438,15.509,1,K00755.01,10854555
11.09432054,4.5945,1517.5,3.9,114.81,835.0,6046.0,0.972,4.486,15.714,1,K00756.01,10872983
4.13443512,3.1402,686.0,2.77,427.65,1160.0,6046.0,0.972,4.486,15.714,1,K00756.02,10872983
2.56658897,2.429,226.5,1.59,807.74,1360.0,6046.0,0.972,4.486,15.714,1,K00756.03,10872983
7.36178958,5.022,233.7,39.21,767.22,1342.0,6227.0,1.958,3.986,12.66,0,K00114.01,6721123
16.06864674,3.5347,4914.3,5.76,30.75,600.0,5031.0,0.848,4.485,15.841,1,K00757.01,10910878
2.470613377,1.74319,14231.0,13.04,761.46,1339.0,5820.0,0.964,4.457,11.338,1,K00001.01,11446443
2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,6440.0,1.952,4.019,10.463,1,K00002.01,10666592
3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,6225.0,1.451,4.169,13.563,1,K00010.01,6922244
3.709214104,2.6302,131.1,1.16,500.46,1206.0,5833.0,1.022,4.407,12.772,1,K00112.02,10984090
11.521446064,3.6399,17984.0,150.51,75.88,753.0,5795.0,0.848,4.554,15.472,0,K00742.01,10419211
19.40393776,12.2155,8918.7,7.18,17.69,523.0,5043.0,0.68,4.591,15.487,0,K00743.01,10464078
19.221388942,4.79843,74284.0,49.29,55.97,698.0,6117.0,0.947,4.496,15.341,0,K00744.01,10480982
16.46983774,9.4378,10479.0,7.94,29.61,595.0,5152.0,0.786,4.517,15.788,0,K00745.01,10485250
9.27358173,3.2875,1288.3,2.47,41.85,649.0,4856.0,0.696,4.583,15.302,1,K00746.01,10526549
6.02930329,1.5821,1912.7,2.85,50.04,678.0,4537.0,0.672,4.648,15.784,1,K00747.01,10583066
