period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,10249.0,2.16986,4.19,9.604,0,1000.01,50365310
3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9219.0,2.15,4.14,9.1355,0,1004.01,238597883
1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,5600.0,0.890774,4.48851,12.4069,1,101.01,231663901
12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,7601.0,1.53641,4.31,10.6257,0,1016.01,175310067
1.10422,2.37,14177.7,21.0448,39459.3,3926.0,6995.2,1.61,4.07,10.6019,0,1017.01,182943944
4.95912,2.509,7440.0,22.9123,673.55,1419.0,5889.0,2.0,3.86,10.6254,0,1018.01,291555748
4.4119378,3.65,15062.0,15.4706,653.252,1408.0,6280.0,1.21,4.32092,9.7109,1,102.01,149603524
1.90879,1.909,618.482,3.34688,985.807,1561.0,6022.6,1.22,4.52,10.5551,0,1021.01,143994283
3.09574,4.475,380.0,3.4262,18087.9,3230.0,6084.0,1.41,4.13,8.72924,0,1022.01,47384844
1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,5050.8,2.99,3.56,9.697,0,1023.01,238374636
14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,5690.0,0.853898,4.58,9.9138,0,1026.01,388624270
1.01606,2.843,240.0,1.20704,2784.04,2023.0,4634.0,0.68,4.64,7.9059,0,1028.01,447283466
3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351.0,1.4,4.22896,11.5232,1,103.01,336732616
12.1246519,4.612,7279.0,17.6729,207.32,1057.0,4807.6,1.07,4.17,9.5706,0,1030.01,464296022
5.652623,3.434,1250.0,8.94354,2717.06,2011.0,6415.4,1.92,3.98,9.7318,0,1031.01,304021498
3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.098027,9810.0,1.60776,4.43,9.8174,0,1034.01,400595342
1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9158.0,1.74,4.32,9.0211,0,1037.01,363260203
4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,6036.0,2.2186699,3.93359,9.8638,1,104.01,231670397
8.30792,3.228,8350.0,43.1068,2276.25,1924.0,9081.0,3.05,3.83,8.0981,0,1041.01,385624852
1.4415577,2.349,507.0,3.61078,16861.8,3174.0,6902.0,1.52,4.25,9.5719,0,1043.01,90448944
3.7039994,4.277,7590.0,17.57,3546.13,2149.0,7013.8,1.9,4.21,9.6306,0,1045.01,54044474
1.3042553,1.706,914.0,9.36472,26944.7,3569.0,6762.0,1.75,4.11,10.0119,0,1046.01,309787037
0.62627,0.666,1880.0,5.72162,3235.57,2101.0,5622.0,0.93,4.5,10.2355,0,1047.01,370745311
0.30412,0.748,1330.0,10.417,280833.0,6413.0,11892.0,2.52,4.14,8.802,0,1048.01,384549882
2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,6599.0,1.2714601,4.21017,11.0657,1,1049.01,16288184
2.1846669,2.86528,11708.0228549,13.7028527,1362.1381428,1549.4409801,5630.0,1.23824,4.37759,9.4995,1,105.01,144065872
3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,6650.0,1.57,4.1639,11.0261,1,1050.01,66818296
21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,5625.0,1.56486,4.438,7.1278,0,1051.01,259863352
